target,top_features,paragraph,local
ΔAR_t+1_ratio,Current_Ratio;AP_Days;Operating_Margin,"For target ΔAR_t+1_ratio, the top drivers are: Current_Ratio (mean |SHAP|=0.00258), AP_Days (mean |SHAP|=0.00122), Operating_Margin (mean |SHAP|=0.00102). Higher values of the first two tend to affect the target according to SHAP directionality in the summary plots.","First test instance (2018): top positive contributors: AP_Days (0.0012), Revenue (0.0008), Operating_Margin (0.0007); top negative contributors: Operating_Income (-0.0002), Inventory (-0.0007), Current_Ratio (-0.0026)."
ΔInventory_t+1_ratio,Inventory;Accounts_Payable;ΔAP_t,"For target ΔInventory_t+1_ratio, the top drivers are: Inventory (mean |SHAP|=0.00016), Accounts_Payable (mean |SHAP|=0.00016), ΔAP_t (mean |SHAP|=0.00012). Higher values of the first two tend to affect the target according to SHAP directionality in the summary plots.","First test instance (2018): top positive contributors: Inventory (0.0002), Accounts_Payable (0.0002), ΔAR_t (0.0001); top negative contributors: Revenue (-0.0001), Operating_Margin (-0.0001), ΔInventory_t (-0.0001)."
ΔAP_t+1_ratio,Revenue;Accounts_Receivable;DSO,"For target ΔAP_t+1_ratio, the top drivers are: Revenue (mean |SHAP|=0.00214), Accounts_Receivable (mean |SHAP|=0.00135), DSO (mean |SHAP|=0.00133). Higher values of the first two tend to increase the target according to SHAP directionality in the summary plots.","First test instance (2018): top positive contributors: Revenue (0.0021), Accounts_Receivable (0.0013), DSO (0.0013); top negative contributors: Accounts_Payable (-0.0003), Current_Ratio (-0.0009), Inventory (-0.0011)."
