,Revenue,Operating_Income,Inventory,COGS,Accounts_Receivable,Current_Assets,Current_Liabilities,Accounts_Payable,Operating_Margin,Current_Ratio,DSO,Inventory_Turnover,AP_Days,ΔAR_t+1,ΔInventory_t+1,ΔAP_t+1,ΔAR_t+1_ratio,ΔInventory_t+1_ratio,ΔAP_t+1_ratio
2014,74401.0,15158.6,1910.0,38631.0,6386.0,31617.0,33726.0,8461.0,0.2037418851897152,0.937466642946095,31.328745581376594,20.22565445026178,79.94266262845902,-1818.0,81.0,-323.0,-0.02443515544145912,0.0020967616680903937,-0.00836116072584194
2015,70749.0,15272.0,1991.0,36538.0,4568.0,29646.0,29790.0,8138.0,0.2158617082926967,0.9951661631419939,23.566693522169924,18.35158211953792,81.2953637309103,-195.0,-112.0,1187.0,-0.0027562227027943856,-0.0030653018774974,0.03248672614811977
2016,65299.0,14456.0,1879.0,32285.0,4373.0,33782.0,30770.0,9325.0,0.22138164443559627,1.0978875528111798,24.44363619657269,17.182011708355507,105.4243456713644,313.0,29.0,1019.0,0.004793335273128226,0.0008982499612823293,0.031562645191265296
2018,66832.0,14258.0,1908.0,33708.0,4686.0,23320.0,28237.0,10344.0,0.21334091453196075,0.8258667705492793,25.592380895379456,17.666666666666668,112.00783196867212,265.0,-8.0,916.0,0.003965166387359349,-0.00023733238400379733,0.027174557968434793
2019,67684.0,13165.2,1900.0,34342.0,4951.0,22473.0,30011.0,11260.0,0.19450978074581882,0.7488254306754191,26.699293776963536,18.074736842105263,119.67561586395666,-773.0,-100.0,811.0,-0.011420719815613734,-0.002911886319958069,0.02361539805485994
2020,70950.0,16151.0,1800.0,34731.0,4178.0,27987.0,32976.0,12071.0,0.22763918252290347,0.8487081513828238,21.493587033121916,19.295,126.85828222625321,,,,,,
